Work Travel ,Lat,Long
"Washington, DC",38.9072,-77.0369
"Oahu, HI",21.4389,-158.0001
"New York, NY",40.7128,-74.006
"Tampa, FL",27.9506,-82.4572
"Dallas, TX",32.7767,-96.797
"Houston, TX",29.7604,-95.3698
"Philedelphia, PA",39.9526,-75.1652
"Denver, CO",39.7392,-104.9903
"San Fransico, CA",37.7749,-122.4194
"Las Vegas, NV",36.1699,-115.1398
"Kansas City, MO",39.0997,-94.5786
"San Diego, CA",32.715,-117.1625
"Phoenix, AZ",33.4484,-112.074
"Las Vegas, NV",36.1699,-115.1398
"San Diego, CA",32.715,-117.1625
"San Fransico, CA",37.7749,-122.4194
"New York, NY",40.7128,-74.006
"Maui, HI",20.7984,-156.3319
"Oahu, HI",21.4389,-158.0001
"Gran Canaria, Spain",27.954699,-15.593445
"Tenerife, Spain",28.290531,-16.556759
"Birmingham, UK",52.4862,-1.8904
"Rio de Janeiro, Brazil",-22.970722,-43.182365
"Chicago, IL",41.8781,-87.6298
"La Quinta, CA",33.6634,-116.31
"Champlin, MN",45.1695,-93.3922
"Portland, OR",45.51179,-122.67563
"Cambridge, MA",42.376507,-71.11836
"Newark, NJ",40.73197,-74.17421
